parameter;value
iID;NA
pID;NA
githubUser;NA
iName;NA
iRedundant;No
iRedundantRemarks;NA
iContinent;NA
iCountry;NA
iLowerGeography;NA
iLatitude;NA
iLongitude;NA
dName;NA
dReference;NA
dOrigin;NA
dSpatialCoverage;NA
iDescriptionSnippet;NA
iDescription;NA
iSpatialExtent;NA
iSpatialResolution;NA
iTemporalCoverage;NA
iMap;NA
iYear;NA
iBiome;NA
iSubIndex;NA
iModelling;NA
iOriginalUnits;NA
iECTclass;NA
iECTsnippet;NA
rType;NA
rSnippet;NA
rTypeRemarks;NA
rResolution;NA
rRescalingMethod;NA
rMax;NA
rMin;NA
